mean,se,outcome,curr_change,pre_change,group,region,lci,uci,exposure_type
-1.2014186424950288,0.008020383276449588,WAZ,-1,0,37 to 48,Urban,-1.21713859371687,-1.1856986912731877,Current minus 1000pp
-0.6535364538190255,0.005637718450475435,WHZ,-1,0,37 to 48,Urban,-0.6645863819819573,-0.6424865256560937,Current minus 1000pp
-1.3058114658050006,0.009533935417787577,HAZ,0,-1,37 to 48,Urban,-1.3244979792238643,-1.287124952386137,Previous minus 1000pp
-1.1975309649383636,0.008016865091416197,WAZ,0,-1,37 to 48,Urban,-1.2132440205175394,-1.1818179093591878,Previous minus 1000pp
-0.6483910653658923,0.0056448109933905635,WHZ,0,-1,37 to 48,Urban,-0.6594548949129379,-0.6373272358188468,Previous minus 1000pp
-1.3030645925962367,0.009529055970687388,HAZ,-1,-1,37 to 48,Urban,-1.321741542298784,-1.2843876428936896,Both minus 1000pp
-1.2004208739102666,0.008020763559024409,WAZ,-1,-1,37 to 48,Urban,-1.2161415704859544,-1.1847001773345789,Both minus 1000pp
-0.6556190146605348,0.005640397074145863,WHZ,-1,-1,37 to 48,Urban,-0.6666741929258607,-0.644563836395209,Both minus 1000pp
-1.259646206952453,0.009747612910679654,HAZ,0,0,49 to 60,Urban,-1.2787515282573851,-1.2405408856475209,Baseline
-1.1918123473162578,0.00820974451034187,WAZ,0,0,49 to 60,Urban,-1.207903446556528,-1.1757212480759878,Baseline
-0.6594791395187605,0.005651591802066819,WHZ,0,0,49 to 60,Urban,-0.6705562594508114,-0.6484020195867095,Baseline
-1.2639367843326765,0.009755548994778034,HAZ,-1,0,49 to 60,Urban,-1.2830576603624415,-1.2448159083029116,Current minus 1000pp
-1.1923953015312203,0.008210701458130255,WAZ,-1,0,49 to 60,Urban,-1.2084882763891556,-1.176302326673285,Current minus 1000pp
-0.6557666762359263,0.0056478689380545155,WHZ,-1,0,49 to 60,Urban,-0.6668364993545132,-0.6446968531173395,Current minus 1000pp
-1.2668596719343193,0.009740088333263881,HAZ,0,-1,49 to 60,Urban,-1.2859502450675164,-1.247769098801122,Previous minus 1000pp
-1.2086770982270414,0.008190908967277718,WAZ,0,-1,49 to 60,Urban,-1.2247312798029057,-1.192622916651177,Previous minus 1000pp
-0.6791364630075135,0.005632071808865813,WHZ,0,-1,49 to 60,Urban,-0.6901753237528905,-0.6680976022621365,Previous minus 1000pp
-1.2711502493145428,0.009747908389734961,HAZ,-1,-1,49 to 60,Urban,-1.2902561497584233,-1.2520443488706623,Both minus 1000pp
-1.2092600524420043,0.008191821941826716,WAZ,-1,-1,49 to 60,Urban,-1.2253160234479847,-1.1932040814360239,Both minus 1000pp
-0.6754239997246794,0.005628834857985196,WHZ,-1,-1,49 to 60,Urban,-0.6864565160463304,-0.6643914834030283,Both minus 1000pp
